"","state","pred_type","GFS","NWS","pred_diff"
"73","Missouri","max_diff",6.0635316761271,3.2508080155139,2.8127236606132
"74","Missouri","min_diff",3.09665948978926,3.93320405085111,-0.836544561061848
"75","Missouri","precip_correct",0.299471520845567,0.736371471665589,-0.436899950820023
"76","Montana","max_diff",6.76629477392836,4.56227758007117,2.20401719385719
"77","Montana","min_diff",3.82905167351732,4.65512779035911,-0.826076116841785
"78","Montana","precip_correct",0.357310628302995,0.680685862180524,-0.323375233877529
"79","Nebraska","max_diff",7.10582438593911,3.79640718562874,3.30941720031037
"80","Nebraska","min_diff",3.63740991322253,4.6083508658359,-0.970940952613363
"81","Nebraska","precip_correct",0.347698190910428,0.721961482440524,-0.374263291530096
"82","Nevada","max_diff",4.44560117302053,4.00301691628057,0.442584256739955
"83","Nevada","min_diff",2.98601335940046,4.92468483999569,-1.93867148059523
